1680373063 17609 0 0
1680375850 17613 0 0
1680376286 17663 0 0
1680376332 17666 0 0
1680376379 17667 0 0
1680376453 17668 0 0
1680466213 18086 0 0
1680466286 18086 0 0
1680469189 18087 0 0
1680474700 18183 0 0
1680543254 18358 0 0
1680550827 19283 0 0
1680567694 19471 0 0
1680568120 19474 0 0
1680702243 19581 0 0
1680703871 19625 0 0
1680809309 19627 0 0
1680848352 19627 0 1
1680899553 19998 0 1
1680900300 20006 0 1
1681027193 20006 0 63
1681071756 20006 76 63
1681071795 20006 142 63
1681071866 20006 222 63
