1680373063 1 0 0 0
1680375850 2 0 0 0
1680376286 3 0 0 0
1680376332 4 0 0 0
1680376379 5 0 0 0
1680376453 6 0 0 0
1680466213 7 0 0 0
1680466286 8 0 0 0
1680469189 9 0 0 0
1680474700 10 0 0 0
1680543254 11 0 0 0
1680550827 12 0 0 0
1680567694 13 0 0 0
1680568120 14 0 0 0
1680702243 15 0 0 0
1680703871 16 0 0 0
1680809309 17 0 0 0
1680848352 17 0 1 0
1680899553 18 0 1 0
1680900300 19 0 1 0
1681027193 19 0 2 0
1681071756 19 1 2 0
1681071795 19 2 2 0
1681071866 19 3 2 0
1681092914 19 3 2 1
1681107323 19 3 3 1
1681133086 20 3 3 1
